"m1","m2","m3","m4","m5","cl"
"3519",42.85,0.61351,0.73195,137,0.74858,5
"3520",39.286,0.91797,0.62526,137,0.77922,5
"3521",59.344,0.49644,0.74398,135,0.76672,5
"3522",53.502,0.74956,0.36807,134,0.7927,5
"3523",46.333,0.77663,0.61478,134,0.77233,5
"3524",43.787,0.89525,0.62031,136,0.75389,5
"3525",42.951,0.78917,0.70876,137,0.76746,5
"3526",39.959,0.88755,0.50148,137,0.74565,5
"3527",38.075,0.7512,0.57222,137,0.77148,5
"3528",49.361,0.69837,0.93011,136,0.71184,5
"3529",34.882,0.68367,0.61676,137,0.78384,5
"3530",41.242,0.81743,0.61786,133,0.75737,5
"3531",33.365,0.6575,0.75778,137,0.79102,5
"3532",42.717,1.573,0.62537,133,0.76665,5
"3533",48.935,0.93573,0.73879,136,0.74267,5
"3534",41.966,0.52241,0.83073,136,0.73444,5
"3535",43.858,0.82143,0.55008,133,0.7703,5
"3536",28.389,0.65387,0.78667,137,0.76737,5
"3537",49.379,0.79881,0.6129,135,0.7705,5
"3538",32.829,0.68255,0.5871,133,0.79274,5
"3539",42.886,1.3134,0.6726,135,0.74215,5
"3540",60.221,0.74411,0.40044,133,0.76522,5
"3541",48.924,0.42764,0.71573,137,0.78216,5
"3542",47.785,0.68764,0.99096,136,0.77918,5
"3543",42.724,1.0905,0.83398,137,0.78213,5
"3544",38.269,0.68631,0.7588,136,0.76491,5
"3545",31.102,1.3533,0.59704,137,0.78099,5
"3546",46.047,0.77908,0.38061,134,0.75542,5
"3547",34.654,0.89932,0.47734,134,0.82992,5
"3548",31.14,0.46809,0.61592,136,0.73298,5
"3549",54.211,1.3595,0.68358,136,0.73833,5
"3550",53.15,0.74899,0.83851,136,0.78469,5
"3551",50.58,1.0165,0.72987,133,0.81259,5
"3552",42.953,1.4184,0.33686,133,0.78277,5
"3553",40.055,1.9207,0.63131,135,0.77086,5
"3554",49.938,0.57519,0.68444,137,0.77613,5
"3555",35.588,0.46319,0.70236,137,0.7687,5
"3556",45.32,2.4635,0.7911,137,0.76728,5
"3557",45.262,1.8018,0.52274,134,0.79672,5
"3558",37.521,0.99459,0.63658,136,0.76896,5
"3559",42.489,0.83165,0.8666,136,0.74928,5
"3560",44.095,1.0698,0.47112,133,0.77317,5
"3561",43.599,0.61348,0.76733,136,0.77462,5
"3562",34.062,0.65702,0.91417,137,0.7931,5
"3563",38.921,0.87954,0.47754,134,0.79043,5
"3564",56.005,0.90637,0.52351,134,0.77338,5
"3565",39.186,0.99823,0.8184,136,0.78864,5
"3566",60.35,0.75807,0.67989,136,0.81388,5
"3567",35.116,0.61105,0.63812,137,0.75419,5
"3568",39.216,0.69007,0.84704,137,0.77364,5
"3569",32.321,1.8328,0.70358,137,0.79812,5
"3570",58.083,0.79237,0.85151,136,0.7806,5
"3571",35.048,0.63793,0.68506,137,0.81024,5
"3572",37.109,0.71135,0.87986,135,0.7679,5
"3573",28.725,0.75823,0.64722,137,0.75031,5
"3574",37.33,1.0529,0.77943,137,0.78295,5
"3575",46.839,0.53769,0.51125,134,0.82391,5
"3576",38.167,0.91016,0.51251,133,0.78546,5
"3577",48.523,0.85035,0.75549,137,0.80107,5
"3578",40.634,1.0807,0.77027,135,0.77463,5
"3579",42.418,0.56397,0.5676,133,0.78736,5
"3580",46.677,0.57579,0.41704,133,0.78138,5
"3581",41.335,0.66933,0.88863,136,0.75589,5
"3582",38.033,1.5528,0.91913,136,0.76909,5
"3583",40.994,0.70608,0.34489,134,0.78289,5
"3584",44.301,0.56394,0.74014,137,0.79212,5
"3585",27.813,0.52976,0.82732,137,0.80728,5
"3586",36.432,0.81077,0.57875,137,0.81864,5
"3587",40.734,1.1813,0.6534,137,0.75734,5
"3588",40.045,0.57296,0.82015,136,0.83224,5
"3589",37.379,0.94171,0.64041,137,0.8216,5
"3590",34.594,0.98075,0.61485,134,0.7639,5
"3591",38.114,0.92201,0.74903,137,0.80774,5
"3592",46.721,1.0596,0.85139,136,0.78922,5
"3593",41.606,1.2381,0.46381,137,0.79532,5
"3594",29.164,1.0671,0.64894,133,0.80517,5
"3595",32.954,1.3429,0.47053,134,0.79837,5
"3596",41.502,0.65501,0.96023,136,0.78407,5
"3597",46.334,1.1968,0.43225,133,0.83159,5
"3598",34.847,0.59646,0.42016,133,0.75583,5
"3599",39.508,0.78261,0.79759,137,0.75809,5
"3600",39.727,0.85567,0.68678,136,0.78583,5
"5601",45.167,0.97132,0.15196,51,0.52414,6
"5602",62.418,1.6668,0.21272,100,0.53118,6
"5603",62.234,0.7487,0.21956,88,0.73569,6
"5604",41.112,0.72604,0.15636,117,0.44663,6
"5605",47.893,0.79421,0.18486,133,0.45613,6
"5606",33.372,0.48466,0.16161,32,0.49618,6
"5607",46.142,0.48112,0.15937,73,0.69706,6
"5608",38.647,1.7787,0.17624,49,0.59756,6
"5609",67.633,0.58589,0.223,77,0.47761,6
"5610",48.812,0.84211,0.2326,128,0.451,6
"5611",38.337,0.52357,0.17198,97,0.69506,6
"5612",37.569,0.48697,0.12556,85,0.30999,6
"5613",41.153,1.3556,0.15602,133,0.46696,6
"5614",39.989,0.71474,0.14042,69,0.67615,6
"5615",40.654,1.1656,0.24583,86,0.77927,6
"5616",45.121,0.83161,0.15891,42,0.48923,6
"5617",37.01,0.6775,0.185,82,0.70029,6
"5618",48.59,0.90245,0.15251,126,0.49589,6
"5619",30.494,0.43,0.14923,127,0.61606,6
"5620",43.736,0.66884,0.20526,76,0.32738,6
"5621",43.33,3.4193,0.2494,112,0.49784,6
"5622",38.758,0.66475,0.1816,75,0.56681,6
"5623",33.654,0.28755,0.14423,54,0.70704,6
"5624",35.968,1.2204,0.18927,100,0.69914,6
"5625",43.42,0.44455,0.14406,31,0.54688,6
"5626",52.187,0.56939,0.18032,144,0.50773,6
"5627",49.302,0.81806,0.23666,66,0.71727,6
"5628",44.794,1.4043,0.16303,149,0.53849,6
"5629",38.69,0.57986,0.16493,106,0.74119,6
"5630",47.666,1.1417,0.13158,131,0.55703,6
"5631",37.955,0.46145,0.15797,169,0.47394,6
"5632",42.782,0.28916,0.1355,57,0.66308,6
"5633",55.315,0.47193,0.21905,145,0.46307,6
"5634",45.305,1.0229,0.20489,54,0.46969,6
"5635",38.327,1.0887,0.14938,152,0.51319,6
"5636",46.096,0.60997,0.21682,92,0.70983,6
"5637",45.353,0.83113,0.15177,166,0.45603,6
"5638",56.207,1.0193,0.18988,165,0.47943,6
"5639",46.397,0.88464,0.1989,62,0.51973,6
"5640",32.148,0.83673,0.2153,117,0.31204,6
"5641",33.28,0.38938,0.17382,68,0.28863,6
"5642",39.942,0.85185,0.19836,119,0.50928,6
"5643",40.791,0.64411,0.24263,136,0.5504,6
"5644",29.721,0.55611,0.21249,144,0.52819,6
"5645",43.888,1.1926,0.17113,95,0.28619,6
"5646",59.121,0.36224,0.17025,94,0.4063,6
"5647",26.296,0.55959,0.22211,128,0.5585,6
"5648",37.856,0.92166,0.18293,163,0.47591,6
"5649",33.026,0.34985,0.21514,67,0.43776,6
"5650",44.091,0.9372,0.13832,90,0.50682,6
"5651",53.384,0.85181,0.17938,106,0.74396,6
"5652",32.715,0.77516,0.15271,157,0.55174,6
"5653",39.28,0.88866,0.16308,92,0.29208,6
"5654",34.432,0.85027,0.1324,131,0.5002,6
"5655",49.165,1.4525,0.19541,120,0.46838,6
"5656",44.627,0.89386,0.16491,83,0.77799,6
"5657",35.991,0.78885,0.15797,104,0.70966,6
"5658",59.244,1.0939,0.27534,33,0.5281,6
"5659",42.195,0.7351,0.16564,177,0.50067,6
"5660",39.321,1.0376,0.16484,63,0.49459,6
"5661",52.016,0.61313,0.14474,133,0.58259,6
"5662",32.929,0.7037,0.1956,71,0.28246,6
"5663",34.99,0.70004,0.15416,81,0.69941,6
"5664",51.756,2.0216,0.12357,107,0.38599,6
"5665",58.093,1.1218,0.22683,83,0.2977,6
"5666",48.863,0.90924,0.19534,97,0.73849,6
"5667",35.713,0.77635,0.12307,60,0.70088,6
"5668",38.478,1.7272,0.12748,44,0.48112,6
"5669",27.581,1.2224,0.17491,41,0.51426,6
"5670",38.12,0.45476,0.17396,133,0.48397,6
"5671",49.248,0.55618,0.13556,152,0.48769,6
"5672",46.66,0.94837,0.19088,140,0.49898,6
"5673",39.739,0.73363,0.14771,104,0.50424,6
"5674",49.805,0.88047,0.22404,92,0.73053,6
"5675",51.755,1.398,0.20501,96,0.73481,6
